wingcrd	flatwing	tarsus	head	culmen	nalospi	wt	bandstat	initials	Year	Month	Day	Location	SpeciesCode	Sex	Age
59	60	22.3	31.2	12.3	13	9.5	1	2	2002	9	19	4	1	0	2
54	55	20.3	28.3	10.8	7.8	12.2	1	2	2002	10	4	4	3	0	2
53	54	21.6	30.2	12.5	8.5	13.8	1	2	2002	10	4	4	3	0	2
55	56	19.7	30.4	12.1	8.3	13.8	1	8	2002	7	30	9	1	0	2
55	56	20.3	28.7	11.2	8	14.1	1	3	2002	10	4	4	3	0	2
53.5	54.5	20.8	30.6	12.8	8.6	14.8	1	7	2004	8	2	1	1	0	2
55.5	57	20.3	29.5	11.5	8.5	15	1	3	2002	10	4	4	3	0	2
55	56	20.9	30	11.7	8.5	15	1	3	2002	10	2	5	3	0	1
54	56	21.4	29.8	11	8.7	15.1	1	1	2002	10	21	7	3	0	2
55	56	20.4	29.8	11.2	8.1	15.1	1	2	2002	10	2	5	3	0	2
56	57	20.5	30	11.7	8.2	15.2	1	2	2002	10	10	5	3	0	2
55	56	20.3	30.3	11.9	8.7	15.2	1	3	2004	8	11	6	1	0	2
52.5	53.5	20.8	30.3	12.6	8.8	15.5	1	3	2004	8	2	1	1	0	2
57.5	59	21.5	30.8	12	8.1	15.6	1	2	2002	9	5	9	1	0	2
53	54	20.6	32.5	13.5	10.7	15.6	1	3	2002	7	30	9	1	5	1
55	56	21.5	31.2	12.3	8.7	15.7	1	5	2004	8	3	2	1	0	2
55	56	20.8	31.6	13.2	9.1	15.7	1	2	2002	8	20	7	1	0	2
55.5	56.5	20.5	31.4	13.2	10.5	15.7	1	6	2003	7	8	11	1	5	1
57	58	20.4	30.6	11.5	8.8	15.8	1	1	2004	7	26	7	1	0	2
55	56.5	20.6	30.6	12.1	8.5	15.8	1	2	2003	8	13	7	1	0	2
54.5	55.5	20	30.7	11.3	8.4	15.8	1	8	2002	8	7	7	1	0	2
53	54.5	19.6	31.2	12.5	8.6	15.8	1	2	2004	8	2	1	1	0	2
54	55	21.1	31.3	13.5	9.6	15.8	1	8	2002	8	21	7	1	5	1
56.5	58.5	19.3	29.2	11.3	7.7	15.9	1	8	2002	7	30	9	1	0	2
55	57	21.2	30.5	11.6	8.7	15.9	1	1	2002	10	15	11	3	0	1
55.5	56.5	21	29.4	12.2	8.3	16	1	7	2004	8	10	7	1	0	2
55.5	57	20.8	30.1	11.7	7.7	16	1	2	2003	8	28	7	1	0	2
55.5	56	21.8	30.5	12.8	9.5	16	1	7	2004	8	11	6	1	0	2
53.5	54	20.2	30.7	12.5	8.3	16	1	7	2004	7	29	9	1	0	2
56.5	57	20.9	31	12.3	8.7	16	1	7	2004	7	26	7	1	0	2
57	58	21.2	31.2	11.6	8.5	16	1	2	2002	8	7	7	1	0	2
56.5	57.5	20	31.1	12.9	9	16	1	2	2004	7	2	1	1	5	1
56.5	57	21.2	31.2	12.6	9.1	16	1	5	2004	8	4	7	1	5	1
54	55	20	31.8	13.5	9.4	16	1	2	2003	7	1	7	1	5	1
56	57	20.4	30.4	11.1	7.8	16.1	1	2	2002	7	24	7	1	0	2
51.5	52.5	21.2	31	12.3	8.5	16.1	1	3	2002	8	9	7	1	0	2
54.5	56	20.7	29.3	11.5	7.1	16.2	1	2	2004	7	20	2	1	0	2
54.5	55.5	20.1	29.7	11.8	8	16.2	1	3	2002	8	6	7	1	0	2
