Day	Depth	Length	EchinoPresence
0	0.8m	25	0
0	0.8m	25	0
0	0.8m	25	0
0	0.8m	25	0
0	0.8m	28	1
0	0.8m	23	0
0	0.8m	20	0
0	0.8m	20	0
0	0.8m	22	0
0	0.8m	23	0
0	0.8m	17	0
0	0.8m	18	0
0	0.8m	17	0
0	0.8m	17.3	0
0	0.8m	14.5	0
0	0.8m	13.5	0
0	0.8m	14	0
0	0.8m	8	0
0	4m	16.8	0
0	4m	17.2	0
0	4m	17	1
0	4m	19	0
0	4m	16	1
0	4m	12.5	0
0	4m	10.5	0
0	4m	11	0
0	4m	10	0
0	4m	11	0
0	4m	8.5	0
0	4m	8	0
0	4m	8	1
0	4m	7	0
0	4m	6	0
26	0.8m	28	0
26	0.8m	22	0
26	0.8m	22	0
26	0.8m	19	0
26	0.8m	17.5	0
26	0.8m	17.5	0
26	0.8m	18	0
26	0.8m	17	0
26	0.8m	14	0
26	0.8m	12	1
26	0.8m	12	0
26	0.8m	12	0
26	0.8m	12.5	0
26	0.8m	9	0
26	0.8m	9	0
26	0.8m	6	0
26	0.8m	6	0
26	4m	17	0
26	4m	17.5	0
26	4m	16	0
26	4m	14	0
26	4m	13	0
26	4m	11	0
26	4m	11.5	0
26	4m	10.5	0
26	4m	8.5	0
26	4m	8	0
26	4m	8	0
26	4m	8.5	0
26	4m	7	0
26	4m	7.5	0
26	4m	5	0
56	0.8m	10	0
56	0.8m	9.5	0
56	0.8m	9.8	0
56	0.8m	8	0
56	0.8m	12	0
56	0.8m	14	0
56	0.8m	14	0
56	0.8m	13.5	0
56	0.8m	12	0
56	0.8m	17.5	1
56	0.8m	17	0
56	0.8m	19	0
56	0.8m	20.5	0
56	0.8m	15.5	0
56	0.8m	25	0
56	4m	4.5	0
56	4m	9.5	0
56	4m	7	0
56	4m	8.5	0
56	4m	6.5	0
56	4m	7.5	0
56	4m	12	0
56	4m	13	0
56	4m	12.5	0
56	4m	12	0
56	4m	12	0
56	4m	11.5	0
56	4m	15.5	0
92	0.8m	9	0
92	0.8m	9	0
92	0.8m	13	0
92	0.8m	13	0
92	0.8m	13.5	0
92	0.8m	13	0
92	0.8m	10	0
92	0.8m	17	0
92	0.8m	16.5	0
92	0.8m	15.5	0
92	0.8m	16	0
92	0.8m	16	0
92	0.8m	21	0
92	0.8m	20.5	0
92	0.8m	20	0
92	4m	9	0
92	4m	9	1
92	4m	8	0
92	4m	7.5	0
92	4m	14	0
92	4m	13	0
92	4m	12.5	0
92	4m	13	1
92	4m	11	0
92	4m	16.5	0
92	4m	17.3	0
92	4m	16.5	0
92	4m	16	0
92	4m	21	0
92	4m	23.5	0
124	0.8m	27	0
124	0.8m	24	0
124	0.8m	24.5	0
124	0.8m	24	0
124	0.8m	19	0
124	0.8m	18	0
124	0.8m	18	0
124	0.8m	18	1
124	0.8m	17	0
124	0.8m	14	0
124	0.8m	14	0
124	0.8m	14	0
124	0.8m	14.5	0
124	0.8m	14	0
124	0.8m	12	0
124	4m	20.5	0
124	4m	21.5	0
124	4m	18	1
124	4m	15.2	0
124	4m	17.5	0
124	4m	15.3	0
124	4m	14	1
124	4m	13.8	0
124	4m	13	1
124	4m	12	1
124	4m	12.5	0
124	4m	7.5	1
124	4m	7.5	1
124	4m	7.5	1
124	4m	8.3	1
152	0.8m	26.5	0
152	0.8m	22	0
152	0.8m	23	0
152	0.8m	23	0
152	0.8m	21	0
152	0.8m	28	0
152	0.8m	19	0
152	0.8m	17	0
152	0.8m	19	0
152	0.8m	19	0
152	0.8m	14	0
152	0.8m	13	0
152	0.8m	12	0
152	0.8m	13	0
152	4m	22	0
152	4m	17.5	0
152	4m	17.5	0
152	4m	17.5	0
152	4m	17.5	0
152	4m	13	1
152	4m	12	0
152	4m	12	0
152	4m	13.5	0
152	4m	12.5	1
152	4m	14	1
152	4m	5	0
152	4m	7	1
152	4m	6	0
152	4m	9	1
