Dates	Time	C.fuscicolis	P.chilensis	H.melanurus	A.georgica	T.flavipes	P.olivaceus	R.nigra	P.dominica	H.palliatus	E.thula	L.belcheri	L.maculipenis	L.dominicanus	P.ajaja	L.haemastica	Tmelanoleuca	E.alba	V.chilensis	Cfalklandicus
Nov-96	cens_1	326	61	29	4	14	33	10	4	4	2	2	2	0	0	0	0	0	0	0
Nov-96	cens_2	569	11	16	0	2	27	1	19	10	0	0	0	5	3	18	2	0	0	0
01-Dec	cens_3	764	0	21	0	153	2	2	6	1	0	1	16	5	0	5	0	9	0	0
18-Dec	cens_4	539	1	9	0	6	15	0	26	1	1	0	14	1	2	64	0	2	0	0
05-Jan	cens_5	268	0	2	0	8	1	0	21	2	1	0	7	2	9	109	0	0	2	1
06-Feb	cens_6	253	0	8	0	2	0	7	18	0	0	0	358	12	12	34	0	0	0	1
20-Feb	cens_7	412	0	2	0	0	0	2	15	2	3	6	196	2	9	46	1	0	0	202
02-Mar	cens_8	272	0	0	0	4	0	2	1	1	1	2	55	7	8	32	1	0	0	1
16-Mar	cens_9	216	2	9	0	0	2	6	8	35	1	0	773	10	6	84	0	0	2	18
02-Apr	cens_10	19	0	3	0	0	2	0	3	0	0	0	0	3	9	58	0	0	3	8
16-May	cens_11	0	4	7	0	0	0	0	1	19	4	3	31	1	0	24	0	6	5	0
29-May	cens_12	0	0	10	11	0	0	0	3	5	1	0	7	0	0	0	0	0	1	0
16-Jun	cens_13	0	3	15	4	0	0	0	2	5	0	4	12	0	0	24	0	0	2	1
30-Jun	cens_14	0	19	7	0	0	0	0	0	8	0	3	6	3	0	13	0	0	6	0
15-Jul	cens_15	0	15	10	0	0	0	0	0	9	2	4	17	0	0	50	0	0	0	0
30-Jul	cens_16	0	0	22	0	0	0	0	0	4	0	2	154	10	0	9	0	0	1	0
29-Aug	cens_17	0	0	0	0	0	2	0	0	5	0	11	7	3	2	0	0	0	0	0
12-Sep	cens_18	10	8	4	0	17	6	0	1	2	0	1	6	0	0	69	0	1	2	0
26-Sep	cens_19	454	0	3	0	13	2	1	11	7	1	2	15	1	7	64	0	0	1	0
13-Oct	cens_20	899	0	0	0	73	80	0	25	6	0	3	2	1	0	113	0	0	0	0
27-Oct	cens_21	326	4	0	0	0	1	0	2	1	0	0	0	0	0	15	0	0	0	0
11-Nov	cens_22	751	0	0	0	92	15	0	24	3	0	0	0	0	3	27	19	0	0	0
26-Nov	cens_23	381	11	0	0	8	19	1	21	0	0	0	0	0	2	23	16	0	0	0
10-Dec	cens_24	592	6	5	2	52	12	2	22	3	0	0	0	0	18	51	0	0	0	0
26-Dec	cens_25	350	9	2	0	14	2	1	30	1	0	1	7	2	8	50	0	1	0	0
