пол	местооб	доза	численность	погибло	выжило
M	Перм	0.15	3	0	3
M	Перм	0.3	3	0	3
M	Перм	0.75	3	1	2
M	Перм	1.5	3	0	3
M	Перм	2.25	3	2	1
M	Перм	3	3	3	0
M	Перм	4.5	3	3	0
M	Перм	0.78	3	0	3
M	Перм	1.55	3	2	1
M	Перм	2.33	3	2	1
M	Перм	3.11	3	2	1
M	Перм	3.89	3	3	0
F	Перм	0.74	3	0	3
F	Перм	1.48	3	1	2
F	Перм	2.23	3	3	0
F	Перм	2.97	3	3	0
F	Перм	3.71	3	3	0
F	Перм	0.62	3	0	3
F	Перм	1.24	3	0	3
F	Перм	1.86	3	2	1
F	Перм	2.49	3	2	1
M	Татар	0.76	3	0	3
M	Татар	1.52	3	0	3
M	Татар	2.28	3	3	0
M	Татар	3.05	3	3	0
M	Татар	3.81	3	3	0
M	Татар	0.75	3	0	3
M	Татар	1.50	3	0	3
M	Татар	2.25	3	3	0
M	Татар	3.00	3	3	0
M	Татар	3.75	3	3	0
F	Татар	0.6	3	0	3
F	Татар	1.21	3	0	3
F	Татар	1.81	3	1	2
F	Татар	2.42	3	3	0
F	Татар	3.02	3	3	0
F	Татар	0.75	3	0	3
F	Татар	1.51	3	1	2
F	Татар	2.26	3	2	1
F	Татар	3.02	3	2	1
F	Татар	3.77	3	3	0
M	НжНов	0.76	3	0	3
M	НжНов	1.52	3	1	2
M	НжНов	2.27	3	2	1
M	НжНов	3.03	3	3	0
M	НжНов	3.79	3	3	0
M	НжНов	0.74	3	0	3
M	НжНов	1.48	3	2	1
M	НжНов	2.22	3	3	0
M	НжНов	2.96	3	3	0
M	НжНов	3.28	3	3	0
F	НжНов	0.75	3	0	3
F	НжНов	1.51	3	1	2
F	НжНов	2.26	3	2	1
F	НжНов	3.02	3	3	0
F	НжНов	3.77	3	3	0
F	НжНов	0.75	3	0	3
F	НжНов	1.49	3	1	2
F	НжНов	2.24	3	3	0
F	НжНов	2.98	3	3	0
F	НжНов	3.09	3	3	0
M	Новг	0.76	3	0	3
M	Новг	1.52	3	2	1
M	Новг	2.27	3	2	1
M	Новг	3.03	3	3	0
M	Новг	0.74	3	0	3
M	Новг	1.11	3	1	2
M	Новг	1.48	3	3	0
M	Новг	2.22	3	2	1
F	Новг	0.75	3	0	3
F	Новг	1.50	3	2	1
F	Новг	2.25	3	3	0
F	Новг	3.00	3	3	0
F	Новг	0.75	3	0	3
F	Новг	1.12	3	0	3
F	Новг	1.48	3	1	2
F	Новг	2.22	3	2	1
M	Моск	0.72	3	0	3
M	Моск	1.45	3	2	1
M	Моск	2.17	3	3	0
M	Моск	2.90	3	3	0
M	Моск	0.74	3	0	3
M	Моск	1.47	3	2	1
M	Моск	2.21	3	3	0
M	Моск	2.94	3	3	0
F	Моск	0.75	3	0	3
F	Моск	1.50	3	2	1
F	Моск	2.25	3	3	0
F	Моск	3.00	3	3	0
F	Моск	0.58	3	0	3
F	Моск	1.16	3	1	2
F	Моск	1.74	3	3	0
F	Моск	2.32	3	3	0
M	Самар	0.75	3	0	3
M	Самар	1.51	3	2	1
M	Самар	2.27	3	3	0
M	Самар	2.82	3	3	0
M	Самар	0.74	3	1	2
M	Самар	1.11	3	0	3
M	Самар	1.48	3	2	1
M	Самар	1.95	3	3	0
F	Самар	0.76	3	1	2
F	Самар	1.52	3	2	1
F	Самар	2.28	3	3	0
F	Самар	3.04	3	3	0
F	Самар	0.76	3	0	3
F	Самар	1.14	3	2	1
F	Самар	1.52	3	3	0
F	Самар	2.28	3	3	0
M	Хвал	0.75	3	0	3
M	Хвал	1.12	3	2	1
M	Хвал	1.49	3	1	2
M	Хвал	2.24	3	3	0
M	Хвал	0.76	3	1	2
M	Хвал	1.14	3	1	2
M	Хвал	1.52	3	3	0
M	Хвал	2.28	3	2	1
F	Хвал	0.74	3	0	3
F	Хвал	1.11	3	2	1
F	Хвал	1.48	3	2	1
F	Хвал	2.22	3	3	0
F	Хвал	0.76	3	1	2
F	Хвал	1.15	3	2	1
F	Хвал	1.53	3	1	2
F	Хвал	2.30	3	2	1
