Файл								Раздел   Комментарий
----								------	------------
sleep_imp.Rdata						4.4		Сон животных: набор данных sleep из пакета VIM после заполнения пропусков
wader.txt							6.1		Пример А.Цуура по двум видам птиц
SparrowsElphick.txt					6.1		Пример А.Цуура по воробьям
55.45N-36.85E-TAVG-Trend.txt		8.1		Среднемесячные температуры Москва (оригинал Berkeley Earth)
TAVG_Moscow.txt						8.1		Среднемесячные температуры Москва (три столбца)
TAVG_Moscow.RData					8.1		Среднемесячные температуры Москва (матричная форма)
Гадюки.txt							8.3		Смертность мышей при введении яда гадюки
dreissena_infection.txt				8.3		Инфицирование дрейссены (сгруппированные данные)
dreissena_infection_raw_data.txt	8.3		Инфицирование дрейссены ("сырые" данные)
Elton_TolInt.txt					8.4		Соленость воды и численность видов бентоса в реках Приэльтонья
RIKZ.txt							8.6		Пример А.Цуура по морским животным
maps.yandex.ru.JPG					9.1		Карта для нанесения местообитаний гадюк
13.txt								9.2		Данные Н.Чижиковой для анализа пространственного расположения растений


 
