x	y	age	blossoms
0.1	5.1	gene	2
0.1	6.8	gene	1
0.2	1.8	gene	1
0.2	7.2	gene	6
0.2	8.2	gene	3
0.3	5.5	gene	2
0.3	6.5	gene	11
0.3	6.8	gene	1
0.3	7.1	gene	1
0.3	8.5	gene	1
0.4	1.8	gene	1
0.5	4.3	pre	0
0.5	6.1	gene	1
0.5	9.2	gene	1
0.7	3.3	gene	4
0.7	7.4	gene	3
0.7	9.1	pre	0
0.8	2.8	gene	4
0.8	3.9	pre	0
0.8	6.4	gene	4
0.8	7.6	gene	0
0.8	8.2	gene	2
0.8	9.4	gene	1
0.9	3.9	gene	3
1	7.6	gene	0
1.3	5.1	gene	3
1.4	2.7	gene	4
1.4	6.5	gene	3
1.5	3.8	gene	2
1.5	6.7	gene	2
1.5	7.7	gene	2
1.6	2.5	gene	2
1.6	6.5	gene	4
1.8	4.2	gene	2
2	8.6	gene	6
2.4	9.2	gene	1
2.5	1.3	gene	3
2.5	9.5	pre	0
2.6	7.5	pre	0
2.6	9.1	gene	1
2.7	7.3	gene	1
2.8	3.2	gene	15
2.8	6.9	gene	1
2.9	7.5	gene	2
3	7.5	gene	4
3	8.5	gene	6
3.1	5.6	gene	1
3.4	2.9	gene	8
3.5	1.4	pre	0
3.5	7.5	pre	0
3.7	5.6	gene	3
3.8	5.9	gene	4
3.8	6.9	gene	3
3.9	5.4	gene	2
4.2	7.3	gene	1
4.4	1.8	gene	0
4.5	3.1	gene	1
4.5	4.2	gene	5
4.5	8.2	gene	2
4.6	1.9	gene	1
4.6	3.7	gene	5
4.6	6.3	gene	1
4.6	9	gene	1
4.7	6.3	pre	0
4.8	6.4	pre	0
4.8	7.8	gene	1
4.9	0.4	gene	7
4.9	3.9	gene	6
4.9	4.1	pre	0
4.9	4.4	gene	1
4.9	6.3	pre	0
4.9	6.5	pre	0
5	3.5	gene	4
5	6.4	gene	1
5.1	7.2	pre	0
5.2	7.3	pre	0
5.2	7.5	pre	0
5.2	9.4	gene	4
5.3	8.2	gene	2
5.3	9.8	gene	4
5.7	2.3	gene	1
5.7	9.8	pre	0
5.8	1.8	gene	7
5.8	4.7	gene	1
5.8	5.8	gene	5
5.8	9.4	pre	0
5.9	2.5	gene	1
5.9	4.9	gene	5
5.9	8.8	gene	1
5.9	9.3	pre	0
6.1	5.3	gene	3
6.1	7.2	gene	8
6.1	8.5	gene	1
6.3	4.9	gene	10
6.5	6.7	gene	1
6.6	4.1	pre	0
6.7	4.6	gene	1
6.7	7.1	gene	1
6.8	8.4	gene	2
6.9	3.3	gene	3
6.9	3.9	gene	2
6.9	6.8	gene	1
7.1	8.3	pre	0
7.1	9.1	pre	0
7.2	0.4	gene	3
7.2	6.7	gene	2
7.2	8.6	gene	1
7.3	5.1	gene	6
7.3	6.6	gene	1
7.3	6.8	gene	2
7.3	7.7	gene	3
7.6	8.3	gene	2
7.7	3.2	gene	8
7.7	5.5	gene	1
7.8	6.2	gene	4
7.8	7.2	gene	1
7.8	9.4	gene	4
7.9	3.4	gene	8
7.9	5	gene	2
8.1	6.1	gene	3
8.1	6.4	gene	1
8.1	6.9	gene	3
8.1	9.8	pre	0
8.2	8.7	gene	2
8.4	7.8	gene	1
8.4	8.2	gene	2
8.5	7.9	pre	0
8.6	7.1	gene	2
8.6	7.6	gene	3
8.7	6.7	gene	3
8.8	7.1	gene	3
8.8	8.6	gene	33
8.9	6.7	gene	3
9.1	4.4	gene	4
9.1	5.2	pre	0
9.1	7.2	pre	0
9.1	8.1	gene	3
9.2	3.3	gene	8
9.2	6.6	gene	1
9.3	4.3	gene	3
9.3	7.4	pre	0
9.5	6.3	gene	3
9.5	7.7	gene	3
9.5	8.3	pre	0
9.5	8.5	gene	1
9.7	8.4	gene	1
9.8	7.6	gene	1
