Year	Month	Anomaly
1753	1	0.222
1753	2	-1.182
1753	3	2.196
1753	4	-0.028
1753	5	0.536
1753	6	0.245
1753	7	0.139
1753	8	-0.236
1753	9	0.331
1753	10	0.423
1753	11	-0.212
1753	12	-5.841
1754	1	-0.347
1754	2	-3.112
1754	3	-0.142
1754	4	2.899
1754	5	0.538
1754	6	1.362
1754	7	0.066
1754	8	-1.418
1754	9	-1.006
1754	10	0.148
1754	11	-0.463
1754	12	0.487
1755	1	-1.215
1755	2	-3.105
1755	3	-0.522
1755	4	0.012
1755	5	1.636
1755	6	2.426
1755	7	1.415
1755	8	-1.194
1755	9	-0.221
1755	10	0.256
1755	11	0.705
1755	12	-2.14
1756	1	2.923
1756	2	4.845
1756	3	0.563
1756	4	1.085
1756	5	0.335
1756	6	1.931
1756	7	0.695
1756	8	-1.925
1756	9	0.06
1756	10	-1.026
1756	11	-1.918
1756	12	-3.301
1757	1	-2.226
1757	2	2.839
1757	3	0.891
1757	4	1.369
1757	5	0.947
1757	6	4.118
1757	7	4.561
1757	8	1.343
1757	9	1.77
1757	10	-4.395
1757	11	-0.725
1757	12	-4.41
1758	1	-5.039
1758	2	-1.551
1758	3	-0.765
1758	4	-1.592
1758	5	-1.776
1758	6	-0.219
1758	7	0.043
1758	8	-1.933
1758	9	-2.267
1758	10	-5.443
1758	11	-0.765
1758	12	-1.881
1759	1	3.437
1759	2	2.145
1759	3	0.486
1759	4	-2.205
1759	5	-2.372
1759	6	0.889
1759	7	-0.834
1759	8	1.609
1759	9	-0.027
1759	10	-1.922
1759	11	-2.687
1759	12	-6.971
1760	1	-5.456
1760	2	0.35
1760	3	-3.037
1760	4	-2.919
1760	5	-1.006
1760	6	-0.985
1760	7	-1.259
1760	8	-0.63
1760	9	0.115
1760	10	-2.836
1760	11	-0.826
1760	12	-2.429
1761	1	-0.975
1761	2	0.202
1761	3	2.416
1761	4	-1.571
1761	5	1.018
1761	6	3.142
1761	7	3.472
1761	8	1.198
1761	9	1.217
1761	10	-2.596
1761	11	-1.275
1761	12	-6.35
1762	1	4.806
1762	2	3.584
1762	3	-0.537
1762	4	0.297
1762	5	-1.166
1762	6	1.319
1762	7	-0.226
1762	8	-1.096
1762	9	-2.216
1762	10	-4.152
1762	11	0.897
1762	12	-2.184
1763	1	-1.189
1763	2	-1.557
1763	3	-3.829
1763	4	-1.529
1763	5	-0.482
1763	6	-1.242
1763	7	2.431
1763	8	-0.206
1763	9	-1.419
1763	10	-3.85
1763	11	-1.892
1763	12	-0.191
1764	1	0.66
1764	2	4.2
1764	3	1.361
1764	4	-1.036
1764	5	-0.903
1764	6	-1.857
1764	7	-0.029
1764	8	-0.834
1764	9	-0.419
1764	10	0.266
1764	11	-0.459
1764	12	1.4
1765	1	2.596
1765	2	0.381
1765	3	2.488
1765	4	0.821
1765	5	-1.042
1765	6	-1.81
1765	7	-0.05
1765	8	0.146
1765	9	-0.804
1765	10	-1.052
1765	11	0.587
1765	12	-0.535
1766	1	-2.84
1766	2	0.901
1766	3	1.737
1766	4	0.473
1766	5	0.576
1766	6	0.056
1766	7	-0.345
1766	8	-0.251
1766	9	0.812
1766	10	-0.643
1766	11	1.842
1766	12	-1.353
1767	1	-4.105
1767	2	0.138
1767	3	2.337
1767	4	-3.151
1767	5	-0.977
1767	6	0.731
1767	7	-1.151
1767	8	1.581
1767	9	1.345
1767	10	0.062
1767	11	3.603
1767	12	-1.654
1768	1	-4.582
1768	2	-3.505
1768	3	-3.922
1768	4	-1.265
1768	5	-2.847
1768	6	-0.346
1768	7	0.333
1768	8	-0.856
1768	9	-0.543
1768	10	-1.781
1768	11	-0.049
1768	12	2.159
1769	1	3.211
1769	2	0.46
1769	3	0.83
1769	4	-0.199
