S	CeCul_sp	CePal_sp	ChChi_ap	ChChi_sr	ChCri_sf	ChGly_sl	ChMch_t_	ChTar_kr
6.817	1495	0	0	0	0	5	1120	0
16.38	0	0	0	50	10140	0	0	0
6.986	600	0	0	0	950	0	200	50
13.098	0	0	0	10	0	13	75	30
13.344	325	0	13	0	0	0	0	0
14.008	20	0	35	430	2035	5	560	50
14.008	0	0	133	133	2128	0	0	133
14.023	0	0	1400	2400	200	0	200	50000
14.375	0	0	600	5200	200	0	1000	400
31.588	0	40	0	440	8920	0	0	0
27.31	0	390	0	0	400	0	0	0
28.672	0	2860	0	0	130	0	0	0
10.28	915	0	10	10	0	5	0	35
9.746	695	0	0	0	0	0	0	0
13.832	850	0	1350	300	2700	300	250	6250
11.528	210	0	560	0	0	200	0	30
28.547	0	1200	0	0	11280	0	0	0
28.607	0	40	0	3360	1120	0	0	0
27.619	0	570	0	0	25	0	0	0
12.948	4200	0	2840	6200	120	40	0	0
29.519	0	15	0	0	140	0	0	0
9.095	0	0	0	0	0	0	0	0
9.095	0	0	0	20	0	10	0	0
13.832	40	0	660	80	1460	260	120	2100
13.832	2040	0	1880	200	240	360	680	3000
12.948	0	0	260	80	0	0	0	0
16.677	0	0	200	50	250	0	1950	6200
16.677	0	0	80	40	320	320	2040	9440
41.064	0	0	0	0	0	0	0	0
15.718	0	0	0	0	0	0	0	0
41.064	0	0	0	50	0	0	0	0
30.902	0	0	0	0	3150	0	0	0
30.902	0	50	0	0	1000	0	0	0
13.223	350	0	0	0	0	0	950	1400
15.122	0	0	440	800	1200	0	2480	0
28.498	0	14600	0	0	400	0	0	0
16.898	0	0	0	880	11520	0	80	0
28.557	0	100	0	0	0	100	0	0
19.16	0	0	0	480	9520	0	0	0
19.16	0	200	0	9000	3000	0	0	0
30.787	0	800	0	0	8200	0	0	0
16.898	0	0	600	19000	800	0	0	0
31.194	0	8400	0	0	100	0	0	0
11.609	2300	0	0	0	0	0	11800	0
10.925	7200	0	0	0	0	38400	1200	800
15.769	200	0	0	0	0	100	1500	7100
15.769	0	0	0	0	40	0	0	11600
12.145	40	0	0	150	0	0	0	20
28.58	500	100	0	0	0	300	300	0
29	0	805	0	270	200	0	0	0
17	10	20	0	300	240	0	0	0
12	0	0	0	0	0	0	0	0
13.75	30	0	780	0	10	0	0	0
29.5	0	3660	0	0	1480	0	0	0
28	20	1760	0	1980	40	0	0	0
9	0	0	0	20	0	0	0	120
10	0	0	0	0	0	10	0	0
30	0	480	0	120	8380	0	0	0
7.637	0	0	0	0	0	0	0	0
10.669	0	0	0	950	0	0	0	7800
6.548	0	0	0	66	165	0	0	0
6.548	0	0	0	0	0	363	0	0
7.543	0	0	0	0	0	462	0	0
11.773	0	0	3993	0	0	0	0	0
12.521	0	33	0	2838	2805	0	0	0
12.521	60	0	0	90	1780	0	0	0
13.269	0	0	0	0	12606	0	0	0
10.677	0	0	0	30	110	0	0	0
25.19	0	10	0	0	1440	0	0	0
10.326	2720	0	0	0	320	0	0	7800
9.18	0	0	0	1900	0	300	0	4100
8.513	0	0	0	0	0	0	0	0
27.291	10	110	0	0	20	0	0	0
